-116.300,45.986,81.996,5072912
-116.998,46.046,80.361,5072933
-117.775,46.074,78.672,5072954
-118.642,46.170,76.902,5072975
-119.544,46.220,75.136,5072996
-120.061,46.434,73.633,5073017
-120.564,46.574,72.120,5073038
-121.100,46.719,70.582,5073059
-121.709,46.428,68.983,5073080
-121.861,46.310,67.720,5073101
-121.931,46.050,66.495,5073122
-122.005,45.678,65.261,5073143
-122.084,45.604,64.016,5073164
-122.441,45.546,62.577,5073185
-122.785,45.224,61.128,5073206
-122.954,45.194,59.805,5073227
-122.892,45.136,58.626,5073248
-122.735,45.039,57.489,5073269
-122.579,44.618,56.371,5073290
-122.254,44.247,55.369,5073311
-121.912,43.929,54.427,5073332
-121.393,43.710,53.567,5073353
-120.906,43.524,52.671,5073374
-120.795,43.540,51.539,5073395
-120.495,43.822,50.526,5073416
-119.978,43.911,49.681,5073437
-119.859,44.205,48.554,5073458
-119.860,44.424,47.347,5073479
-119.853,44.405,46.153,5073500
-119.564,44.220,45.124,5073521
-119.192,44.014,44.172,5073542
-118.577,43.991,43.385,5073563
-118.262,44.227,42.359,5073584
-117.670,44.074,41.546,5073605
-117.498,44.340,40.464,5073626
-117.384,44.623,39.338,5073647
-117.436,44.764,38.122,5073668
-117.563,44.938,36.820,5073689
-117.561,44.827,35.588,5073710
-117.245,44.847,34.563,5073731
-116.956,44.708,33.486,5073752
-116.585,44.595,32.448,5073773
-117.328,44.899,31.006,5073794
-118.116,45.354,29.511,5073815
-118.817,45.922,28.040,5073836
-119.384,46.490,26.663,5073857
-120.087,46.946,25.169,5073878
-120.609,47.390,23.826,5073899
-121.132,47.794,22.493,5073920
-121.322,47.826,21.397,5073941
-121.489,47.791,20.315,5073962
-121.652,47.666,19.192,5073983
-121.822,47.381,18.055,5074004
-122.045,47.024,16.845,5074025
-122.403,46.989,15.519,5074046
-122.655,46.925,14.269,5074067
-122.855,46.642,13.049,5074088
-122.984,46.480,11.872,5074109
-122.717,45.984,10.993,5074130
-122.130,45.616,10.321,5074151
-121.468,45.244,9.669,5074172
-120.726,45.018,9.068,5074193
-119.992,44.703,8.451,5074214
-119.367,44.690,7.772,5074235
-118.990,44.691,6.885,5074256
-118.350,44.706,6.152,5074277
-117.908,44.818,5.238,5074298
-117.174,44.551,4.494,5074319
-116.641,44.252,3.606,5074340
-115.919,44.163,2.839,5074361
-115.185,44.117,2.072,5074382
-114.466,44.096,1.246,5074403
-113.772,44.109,0.413,5074424
-113.208,44.334,359.478,5074445
-113.095,44.648,358.214,5074466
-113.035,45.023,356.905,5074487
-113.076,45.197,355.525,5074508
-113.112,45.324,354.126,5074529
-113.142,45.420,352.733,5074550
-112.817,45.610,351.585,5074571
-112.605,45.919,350.365,5074593
-112.533,46.296,349.041,5074614
-112.502,46.486,347.701,5074635
-112.978,47.038,346.020,5074656
