26.758,26.968,332.004,257361335,-4.464,3.929,7.933,257338334,0.004,0.028,0.001,257338334
26.574,27.025,331.958,257430333,-4.419,3.875,7.836,257384332,0.025,0.031,0.007,257407333
26.871,26.749,332.191,257476332,-4.486,3.886,7.813,257430333,-0.027,-0.054,0.056,257453332
26.960,26.925,332.307,257522333,-4.487,4.057,7.928,257499333,0.008,0.057,0.023,257522333
26.742,26.671,332.332,257591334,-4.553,4.075,8.011,257545332,0.008,0.054,0.029,257568338
27.037,26.737,332.456,257636333,-4.586,4.019,7.955,257613332,-0.036,-0.051,0.052,257613332
26.792,26.940,332.336,257705332,-4.578,4.079,8.036,257659335,0.013,0.027,-0.013,257682332
27.275,27.629,332.569,257751333,-4.559,3.938,7.898,257728333,0.042,0.051,0.000,257728333
27.012,27.156,332.436,257820333,-4.409,3.918,7.993,257774334,0.017,-0.004,0.016,257797334
26.849,26.965,332.293,257866334,-4.506,4.024,7.980,257820333,0.014,-0.003,-0.010,257843333
26.995,26.724,332.371,257912335,-4.458,3.973,7.885,257889337,0.017,-0.023,0.013,257912335
26.690,26.344,332.293,257981337,-4.357,4.018,8.016,257935332,-0.047,-0.070,0.021,257958332
26.598,26.563,332.303,258027331,-4.430,4.022,7.948,258004334,-0.048,-0.061,0.025,258004334
25.813,25.573,332.057,258119332,-4.432,4.014,7.983,258050334,-0.061,-0.042,0.009,258073332
25.856,25.660,332.095,258165334,-4.295,3.913,8.024,258119332,-0.086,-0.099,0.015,258142333
25.272,25.006,331.936,258211333,-4.330,3.973,8.110,258188333,-0.175,-0.137,0.018,258211333
22.203,23.369,331.355,258280334,-4.260,3.902,8.178,258234332,-0.499,-0.226,0.007,258257334
16.260,19.539,330.889,258349333,-3.869,3.646,8.553,258303337,-1.375,-0.886,0.181,258326331
9.264,18.409,330.109,258395333,-3.501,2.961,8.862,258349333,-1.911,-0.789,0.071,258372335
3.583,18.119,329.715,258441334,-3.222,1.654,9.277,258418333,-2.282,-0.246,-0.091,258441334
-1.665,16.627,329.083,258510330,-3.082,0.622,9.477,258464333,-1.636,-0.360,-0.088,258487334
-5.836,15.067,329.030,258579333,-2.843,-0.421,9.600,258533333,-1.210,-0.434,-0.023,258556332
-7.567,14.227,329.111,258625333,-2.728,-0.929,9.519,258579333,-0.834,-0.378,-0.002,258602336
-9.138,13.736,329.195,258671334,-2.538,-1.300,9.664,258648333,-0.597,-0.262,0.030,258671334
-11.996,12.056,330.060,258740334,-2.346,-1.569,9.906,258694333,-0.790,-0.383,0.136,258717330
-14.082,10.198,330.435,258809336,-2.065,-2.274,9.358,258763348,-0.624,-0.606,0.061,258786334
-13.830,9.558,330.631,258855335,-1.841,-2.516,9.184,258832334,-0.217,-0.359,0.056,258832334
-13.855,8.658,330.809,258924333,-1.729,-2.392,9.351,258878340,0.054,-0.293,-0.003,258901335
-13.757,7.100,330.908,258970334,-1.541,-2.438,9.575,258947332,0.094,-0.478,-0.057,258970334
-12.342,4.170,331.224,259039334,-1.123,-2.425,9.430,258993331,0.301,-0.669,-0.086,259016335
-7.963,-0.586,332.526,259108331,-0.620,-2.296,9.599,259062333,0.915,-1.060,0.036,259085333
