2,-0.038,0.060,0.021,959276640
0,4.791,3.660,18.097,959299641
1,-0.707,0.783,10.106,959299641
2,0.022,0.008,0.068,959322642
0,4.927,3.629,18.390,959345641
1,-0.323,0.847,9.735,959368639
2,-0.023,0.079,-0.000,959391640
0,4.878,3.946,18.446,959414642
1,-0.609,0.875,10.106,959414642
2,0.030,0.008,0.049,959437642
0,5.020,3.428,18.533,959483642
1,-0.460,0.923,9.836,959483642
2,-0.038,0.061,0.010,959506641
0,5.086,3.915,18.599,959529642
1,-0.663,0.928,9.839,959552641
2,-0.004,-0.007,0.031,959575642
0,5.184,3.156,18.670,959598652
1,-0.504,0.915,9.889,959598652
2,0.006,0.027,-0.016,959621641
0,5.153,3.964,18.647,959644642
1,-0.570,0.806,9.743,959667642
2,0.021,0.152,-0.004,959667642
0,5.096,3.833,18.555,959690642
1,-0.514,0.847,9.997,959713641
2,-0.023,0.134,-0.107,959736642
0,4.576,4.346,18.233,959759640
1,-0.706,0.899,10.017,959782648
2,-0.038,0.149,-0.103,959782648
0,4.913,4.901,17.988,959805640
1,-0.970,0.697,9.776,959828640
2,-0.065,0.244,-0.087,959851642
0,4.391,6.016,17.870,959874642
1,-0.888,0.831,9.888,959897645
2,-0.100,0.232,-0.055,959897645
0,4.307,6.592,17.725,959920640
1,-1.173,0.705,9.859,959943642
2,-0.063,0.319,-0.094,959966641
0,4.145,8.045,17.449,959989642
1,-1.575,0.639,9.850,960012643
2,-0.010,0.501,-0.157,960012643
0,4.032,9.418,17.212,960035642
1,-1.466,0.782,9.882,960058643
2,0.104,0.016,-0.001,960081642
0,4.708,8.890,17.327,960104642
1,-1.794,0.639,9.665,960127651
2,0.041,-0.117,0.083,960150643
0,4.563,9.017,17.519,960150643
1,-1.582,0.725,9.809,960173642
2,0.019,-0.161,0.071,960196643
0,4.594,8.117,17.724,960219640
1,-1.398,0.762,9.790,960242642
2,0.006,-0.131,0.065,960242642
0,4.482,7.520,17.755,960265642
1,-1.278,0.798,9.899,960288645
2,0.032,-0.086,-0.003,960311641
0,4.416,7.322,17.705,960334644
1,-1.222,0.804,9.783,960357640
2,-0.030,-0.065,0.006,960357640
0,4.489,6.729,17.682,960380643
1,-1.226,0.779,9.947,960403643
2,0.012,-0.115,0.016,960426643
0,4.413,6.636,17.709,960449642
1,-1.210,0.764,9.822,960449642
2,-0.048,-0.106,0.014,960495641
0,4.171,6.121,17.692,960518642
1,-1.157,0.725,9.756,960518642
2,-0.073,-0.078,0.013,960541642
0,3.851,5.797,17.692,960564645
1,-1.088,0.678,9.798,960587645
2,-0.132,-0.068,0.007,960610640
0,3.169,5.767,17.645,960633642
1,-1.021,0.607,9.796,960633642
2,-0.153,0.032,-0.054,960656640
0,2.822,5.814,17.583,960679642
1,-1.170,0.482,9.875,960702643
2,-0.013,-0.408,-0.171,960725642
0,2.714,3.996,17.338,960748642
1,-0.842,0.463,9.954,960748642
2,0.129,-0.406,0.047,960771640
0,3.191,3.459,17.302,960794641
1,-0.631,0.548,9.903,960817642
2,0.033,-0.051,-0.022,960840642
0,3.465,3.731,17.339,960863638
1,-0.656,0.898,9.708,960863638
2,-0.009,0.010,-0.022,960886642
0,3.377,4.037,17.307,960909640
1,-0.748,0.654,9.857,960932640
2,0.016,-0.002,-0.002,960955642
0,3.517,4.000,17.299,960955642
1,-0.728,0.611,9.901,960978642
2,0.006,0.004,-0.003,961001644
0,3.242,3.888,17.273,961024640
1,-0.718,0.589,9.947,961047640
2,0.010,0.003,-0.003,961047640
0,3.569,4.082,17.281,961070649
1,-0.718,0.615,9.886,961093646
2,0.007,0.012,-0.004,961116641
0,3.674,4.328,17.264,961139641
1,-0.713,0.597,9.878,961162641
2,-0.003,0.005,-0.018,961162641
0,3.581,3.956,17.238,961185642
1,-0.729,0.625,9.906,961208642
2,0.004,0.002,-0.013,961231640
0,3.683,3.824,17.202,961254641
1,-0.677,0.631,9.929,961254641
2,0.004,0.009,-0.011,961277640
0,3.370,3.999,17.156,961300642
1,-0.718,0.580,9.871,961323642
