1,-0.277,3.007,-10.884,61680764
2,-0.590,-0.480,0.217,61702767
0,174.404,2.498,295.382,61611773
1,-1.085,2.848,-10.174,61748774
2,0.727,0.161,-0.150,61748774
0,177.690,2.211,295.865,61588774
1,-0.726,2.404,-10.300,61771766
2,2.671,1.181,0.086,61794765
0,174.404,2.498,295.382,61611773
1,-0.135,0.329,-10.392,61840766
2,4.223,1.570,-0.039,61840766
0,-174.015,-2.070,293.694,61817778
1,0.952,-2.032,-8.814,61885775
2,6.138,2.581,-0.017,61885775
0,-174.015,-2.070,293.694,61817778
1,2.371,-5.215,-6.939,61931768
2,5.572,2.174,0.540,61931768
0,-178.786,-0.349,293.927,61794765
1,2.532,-6.063,-6.329,61954765
2,4.970,1.711,0.956,61977766
0,176.973,1.764,294.234,61771766
1,2.344,-6.990,-4.943,62000767
2,4.908,1.520,1.094,62023767
0,-132.752,-14.159,285.088,61954765
1,2.541,-8.577,-2.539,62046767
2,4.115,0.982,1.027,62046767
0,-138.633,-13.695,287.227,61931768
1,2.304,-9.193,-1.368,62069764
2,1.508,-0.051,0.512,62092767
0,-138.633,-13.695,287.227,61931768
1,1.612,-9.218,-0.695,62115766
2,0.081,-0.235,0.055,62138767
0,-108.715,-11.721,278.601,62138767
1,2.119,-10.398,-0.214,62161772
2,-3.754,-1.882,-0.729,62184767
0,-107.787,-11.698,278.000,62115766
1,1.361,-8.584,-1.627,62207765
2,-4.624,-1.565,-0.783,62230779
0,-108.715,-11.721,278.601,62138767
1,1.907,-8.024,-3.519,62253767
2,-7.137,-2.597,-0.930,62275767
0,-107.787,-11.698,278.000,62115766
1,0.497,-3.991,-6.142,62298765
2,-6.073,-1.665,-0.799,62321767
0,-166.348,-4.279,297.408,62321767
1,1.038,-2.259,-8.209,62344767
2,-5.438,-1.656,-0.303,62367765
0,-166.348,-4.279,297.408,62321767
1,0.423,0.615,-10.161,62390767
2,-4.419,-1.153,0.035,62390767
0,-166.348,-4.279,297.408,62321767
1,0.665,1.605,-11.025,62436767
2,-1.613,-0.532,0.462,62459778
0,-166.348,-4.279,297.408,62321767
1,0.098,2.355,-10.625,62482766
2,-1.310,-0.518,0.513,62482766
0,-166.348,-4.279,297.408,62321767
1,-0.336,2.734,-10.467,62528767
2,-0.279,-0.200,0.226,62528767
