-119.274,46.373,267.738,3417810
-119.111,46.572,267.716,3417831
-118.858,46.572,267.779,3417852
-118.898,46.902,267.647,3417873
-119.101,47.062,267.376,3417894
-119.089,47.368,267.258,3417915
-119.154,47.354,267.090,3417936
-119.186,47.552,266.928,3417957
-118.995,47.360,266.912,3417978
-118.509,47.209,267.101,3417999
-118.552,47.101,266.897,3418020
-118.478,46.839,266.773,3418041
-118.084,46.688,266.883,3418062
-118.087,46.751,266.706,3418083
-117.973,46.809,266.603,3418104
-117.753,46.704,266.557,3418125
-117.830,46.745,266.285,3418146
-117.774,46.739,266.122,3418167
-117.676,46.408,265.975,3418188
-118.009,46.162,265.483,3418209
-117.965,45.854,265.256,3418231
-118.303,45.574,264.734,3418252
-118.514,45.677,264.281,3418273
-118.502,45.666,264.005,3418294
-118.644,45.770,263.601,3418315
-118.960,45.913,263.098,3418336
-119.392,45.842,262.489,3418357
-119.610,45.646,262.018,3418378
-119.846,45.459,261.530,3418399
-120.106,45.316,261.020,3418420
-120.201,45.140,260.577,3418441
-120.526,45.355,259.971,3418462
-120.469,45.475,259.603,3418483
-120.618,45.749,259.097,3418504
-121.029,45.834,258.384,3418525
-120.950,46.020,258.028,3418546
-121.283,46.271,257.342,3418567
-121.288,46.143,256.913,3418588
-121.258,46.006,256.498,3418609
-121.076,46.019,256.178,3418630
-120.915,45.937,255.860,3418651
-120.763,45.794,255.524,3418672
-121.006,45.915,254.917,3418693
-121.072,46.156,254.404,3418714
-120.921,46.344,254.032,3418735
-120.985,46.500,253.498,3418756
-121.102,46.497,252.957,3418777
-121.198,46.541,252.460,3418798
-120.892,46.341,252.272,3418819
-120.553,46.391,252.117,3418840
-120.200,46.457,251.985,3418861
-119.803,46.453,251.928,3418882
-119.406,46.489,251.903,3418903
-119.185,46.724,251.766,3418924
-119.242,46.712,251.438,3418945
-119.283,46.771,251.145,3418966
-119.257,47.021,250.915,3418987
-118.991,46.853,250.910,3419008
-118.523,46.834,251.063,3419029
-118.028,46.806,251.244,3419050
-117.550,46.795,251.441,3419071
-117.173,46.724,251.576,3419092
-117.131,46.992,251.476,3419113
-116.924,47.194,251.498,3419134
-116.991,47.405,251.342,3419155
-117.091,47.633,251.165,3419176
-117.341,47.594,250.899,3419197
-117.370,47.380,250.784,3419218
-117.558,47.215,250.558,3419239
-117.727,47.031,250.364,3419260
-117.819,46.811,250.270,3419281
-117.620,46.754,250.371,3419302
-117.509,46.906,250.425,3419323
-117.734,47.024,250.255,3419344
-118.009,47.071,250.054,3419365
-118.306,47.102,249.846,3419386
-118.298,47.225,249.870,3419407
-118.325,46.924,249.841,3419428
-118.188,46.794,249.934,3419449
-118.480,46.555,249.722,3419470
-118.452,46.306,249.723,3419491
-118.439,46.326,249.717,3419512
-118.819,46.155,249.413,3419533
-119.186,46.193,249.106,3419554
-119.326,46.295,248.988,3419575
-119.532,46.429,248.817,3419596
-119.914,46.474,248.522,3419617
-120.146,46.226,248.351,3419638
-120.082,46.043,248.386,3419659
-119.948,46.049,248.465,3419680
-119.811,45.902,248.548,3419701
-119.970,45.707,248.424,3419722
-120.218,45.884,248.221,3419743
-120.339,46.088,248.097,3419764
-120.388,46.331,248.044,3419785
-120.649,46.479,247.868,3419806
-120.895,46.501,247.669,3419827
-120.642,46.430,247.846,3419848
-120.628,46.307,247.816,3419869
-120.514,46.192,247.862,3419890
-120.149,46.219,248.106,3419911
-119.893,46.145,248.280,3419932
-119.643,46.445,248.442,3419953
-119.437,46.771,248.584,3419974
-119.507,47.124,248.514,3419995
-119.370,47.511,248.602,3420016
-119.393,47.490,248.571,3420037
-119.424,47.442,248.542,3420058
-119.075,47.586,248.784,3420079
-118.691,47.614,249.045,3420100
-118.426,47.493,249.213,3420121
-118.544,47.462,249.056,3420142
-118.192,47.402,249.280,3420163
-118.294,47.599,249.135,3420184
-118.335,47.809,249.031,3420205
-118.500,47.953,248.835,3420226
-118.471,47.953,249.263,3420247
-118.780,48.311,249.396,3420268
-118.659,48.455,249.252,3420289
-118.503,48.209,249.123,3420310
-118.288,48.239,249.013,3420331
-118.029,48.152,248.931,3420352
-118.275,48.032,248.486,3420373
-118.540,48.236,248.237,3420394
-118.824,48.418,247.955,3420415
-119.087,48.531,247.677,3420436
-119.321,48.594,247.406,3420457
-119.474,48.379,247.168,3420478
-119.177,48.084,247.267,3420499
-118.814,47.855,247.392,3420520
-118.508,47.626,247.593,3420541
-118.484,47.279,247.566,3420562
-118.406,47.326,247.599,3420583
-118.474,47.392,247.524,3420604
-118.363,47.462,247.597,3420625
-118.561,47.340,247.473,3420646
-118.761,47.221,247.345,3420667
-118.608,47.316,247.535,3420688
-118.419,47.057,247.746,3420709
-118.300,46.837,247.933,3420730
-118.130,46.674,248.158,3420751
-118.033,46.490,248.344,3420772
-118.274,46.301,248.280,3420793
-118.486,46.508,248.241,3420814
-118.762,46.759,248.144,3420835
-119.134,46.866,247.975,3420856
-119.528,46.970,247.775,3420877
-119.926,47.021,247.548,3420898
-119.978,46.834,247.580,3420919
-119.862,46.764,247.716,3420940
-119.721,46.729,247.857,3420961
-119.627,46.619,247.970,3420982
-119.598,46.770,248.033,3421003
-119.775,46.965,247.943,3421024
-120.079,47.127,247.723,3421045
-120.315,47.291,247.534,3421066
-120.472,47.474,247.419,3421087
-120.266,47.408,247.544,3421108
-120.062,47.270,247.639,3421129
-120.142,47.030,247.523,3421150
-119.932,46.781,247.621,3421171
-119.725,46.493,247.683,3421192
-119.435,46.590,247.815,3421213
-119.453,46.460,247.905,3421234
-119.553,46.724,247.954,3421255
-119.680,47.003,247.997,3421276
-119.887,47.194,247.955,3421297
-119.919,47.507,248.043,3421318
-119.679,47.447,248.317,3421339
-119.755,47.744,248.350,3421360
-119.654,47.611,248.494,3421381
-119.367,47.589,248.751,3421402
-119.200,47.400,248.921,3421423
-119.382,47.403,248.821,3421444
-119.550,47.462,248.741,3421465
-119.724,47.475,248.655,3421486
-119.711,47.592,248.718,3421507
-119.922,47.609,248.584,3421528
-119.639,47.421,248.847,3421549
-119.478,47.117,248.980,3421570
-119.311,46.839,249.117,3421591
-119.082,46.609,249.284,3421612
-119.243,46.370,249.149,3421633
-119.267,46.500,249.120,3421654
-119.263,46.616,249.107,3421675
-119.110,46.702,249.193,3421696
-119.305,46.640,249.000,3421717
-119.496,46.538,248.809,3421738
-119.341,46.198,248.863,3421759
-119.088,46.209,249.014,3421780
-119.157,45.973,248.913,3421801
-118.988,45.789,248.965,3421822
-118.954,45.986,248.915,3421843
-119.135,46.175,248.708,3421864
-119.111,46.396,248.636,3421885
-119.194,46.224,248.493,3421906
-119.366,46.448,248.278,3421927
-119.237,46.678,248.253,3421948
-118.962,46.651,248.334,3421969
-118.791,46.529,248.346,3421990
-118.514,46.538,248.453,3422011
-118.286,46.425,248.512,3422032
-117.944,46.502,248.646,3422053
-118.070,46.677,248.465,3422074
-118.078,46.973,248.348,3422095
-118.153,47.246,248.160,3422116
-118.254,47.294,247.949,3422137
-118.374,47.436,247.735,3422158
-118.155,47.321,247.727,3422179
-118.247,47.442,247.538,3422200
-117.842,47.381,247.693,3422221
-117.546,47.227,247.774,3422242
-117.271,47.469,247.811,3422263
-116.961,47.660,247.904,3422284
-116.870,47.880,247.824,3422305
-116.561,48.022,247.904,3422326
-116.688,48.152,247.651,3422347
-116.503,48.299,247.633,3422368
-116.473,48.016,247.521,3422389
-116.391,47.774,247.460,3422410
-116.357,47.501,247.326,3422431
-116.244,47.344,247.270,3422452
-116.511,47.167,246.944,3422473
-116.856,47.032,246.564,3422494
-117.225,47.182,246.159,3422515
-117.454,47.361,245.816,3422536
-117.821,47.431,245.365,3422557
-118.042,47.397,245.436,3422578
-118.247,47.706,245.445,3422599
-118.424,48.007,245.494,3422620
-118.568,48.235,245.559,3422641
-118.806,48.136,245.534,3422662
-119.203,48.016,245.418,3422683
-119.577,48.297,245.309,3422704
-120.154,48.471,245.059,3422725
-120.564,48.690,244.937,3422746
-120.835,48.505,244.896,3422767
-121.327,48.545,244.656,3422788
-121.227,48.473,244.841,3422809
-121.195,48.239,244.954,3422830
-120.990,48.067,245.175,3422851
-120.708,47.885,245.448,3422872
-120.639,47.601,245.598,3422893
-120.724,47.711,245.621,3422914
-120.634,47.887,245.793,3422935
-120.697,47.941,245.839,3422956
-120.715,48.128,245.979,3422977
-120.482,48.301,246.295,3422998
-120.114,48.122,246.711,3423019
-120.031,47.889,246.904,3423040
-119.728,47.706,247.273,3423061
-119.436,47.429,247.628,3423082
-119.144,47.155,247.941,3423103
-118.894,47.143,248.194,3423124
-118.790,47.209,248.371,3423145
-118.646,47.222,248.538,3423166
-118.963,46.538,248.778,3423271
-118.959,46.323,248.893,3423292
-118.712,46.256,249.176,3423313
-118.979,46.342,249.088,3423334
-119.016,46.622,249.147,3423355
-119.091,46.891,249.177,3423376
-119.338,47.052,249.061,3423397
-119.522,47.275,249.004,3423418
